id,api,# completed (subtask level),# completed (notes),techDiff,has-concept,has-fact,has-template,What information or strategies did you find most helpful?,What additional information would you have wanted?,Notes,Annotations,Nothing,Documentation,Code,TMI,Time,Search,PrevKnowledge,Experiment,PL knowledge,InfoFromDebugger,Other notes
28,Threejs,,0,FALSE,TRUE,TRUE,FALSE,The example code that had the torus was very helpful this time,None. Maybe less shapes in the example code so I wouldn't have to figure out which code corresponds to the torus.,0,,N-W,,EC-U EC-W,,,,,,,,
29,Threejs,,0,FALSE,FALSE,FALSE,FALSE,The sample code was simple to port into the problem. I was able to assume the 'circleGeometry' existed based on other object names (good naming) in THREE.,"I was not able to find a circle 'resolution,' nor was I able to access a list of geometries; Both of these would be very helpful. An explanation of Geometry params. It took a few minutes of testing to determine which was which. I f there was an error between the two cameras...",0,F-W-Sp,,,EC-U VN-U,,,,,Exp-U,,,
30,Threejs,,0,FALSE,TRUE,TRUE,TRUE,I found the example code and it's demo very useful. By looking at how the demo code looks I was able to pull out code that would be useful for my task. I also found the explanations for what each shape is to be very useful.,"I would have wanted a briefer description for the functions. Overall, very satisfied with the information provided",0,C-U-Sp F-W,,,EC-U,TMI,,,,,,,
31,Threejs,,0,FALSE,TRUE,FALSE,TRUE,The general information about the library itself and the basic mechanism of how it works.,A reference documentation of methods and objects,0,F-W-Sp,,D-U,,,,,,,,,
32,Threejs,,0,FALSE,TRUE,TRUE,TRUE,Having pictures under the geometry helped me find the correct shape. Having [?] the parameters was helpful.,"I would have liked the examples to use more parameters and functions, like the shine which I didn't see",0,C-U-Sp F-U-Sp,,,EC-W,,,,,,,,
33,Threejs,,,FALSE,TRUE,FALSE,FALSE,"""- I thought that looking at the example to set what the example shapes were - I also looked through the different concepts to see what object I wanted to use. I thought that the image was helpful""","""- Some additional information that I thought would've been helpful were information about some of the fields for the THREE.Mesh - Also some information about the camera object - Maybe a template would've been good about creating the shape, then, material, then adding it to scene. We would be able to see what some fields were.""",,C-U F-W-Sp T-W,,,EC-U,,,,,,,,
34,Threejs,,0,FALSE,FALSE,FALSE,FALSE,I skimmed through the example code and try to align which section of code belonged to which shape.,This would be very cool to have a visual example. or annotated notes of some attributes (spectacular vs. shininess). This library by far was easier to learn and use versus the previous.,0,C-W-Sp F-W-Sp,,,EC-U,,,,,,,,
35,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"The example code w/ annotations clarifying the concepts (coordinates, shapes) Comparing the code we edited w/ the example code. Template also provides a general grasp on the structure of the code.",More explanations on what each parameter does,0,C-U T-U F-W,,,TC-U EC-U,,,,,,,,
36,Threejs,,0,FALSE,FALSE,FALSE,FALSE,The names of some of the methods were intuitive and informative.,Some form of explanation as to what various parameters mean or what methods were available. Also a description of what some of the methods actually did.,0,F-W-Sp,,,FN-U,,,,,,,,
37,Threejs,,0,FALSE,FALSE,TRUE,TRUE,"Seeing the js, showing object creating via the templates and how it was added to the scene.",Knowing more about the types of shapes and their attributes.,0,T-U C-W-Sp F-W-Sp,,,Co-U,,,,,,,,
38,Threejs,,0,FALSE,TRUE,TRUE,FALSE,"The facts were most helpful with the annotation & telling you what to do. It was SUPER helpful to have a the explanation of each individiual parameter for a given annotations so you could figure out what to change to make it work. This one had very good sample code, very similar to what we had to do for the task.","Split up the example code w/ comments or general sections (like this contains the camera or light set up, this is the shape set up, material, etc.) I wish I knew more about the",0,F-U,,,EC-U EC-Cm-W,,,,,,,,
39,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"looking at the ""facts"" in the annotation, its where I found the definition of each parameter, instead of deducing meaning from magic #s [Researcher note: magic #s in our intro courses refer to #s in code without any name indicating their meaning].",What the square camera was doing. Also it was weird that the library was all caps. I looked for a module constant before realize thats the name of the library.,0,F-U F-W-Sp T-W-Sp,,,VN-X,,,,,,,,
40,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"Example shapes were very useful to understand how to create and insert shapes into the scene. Also was able to get teh basic anatomy of a scene. Unsure how to make a ring though, got stuck there.",How to make a ring. Thought I could modify the icosahedron to get there. Now that I look again I should have used sphere. didn't remember how to look up things in the library.,0,C-W-Sp F-W-Sp,,,EC-U,,,,,,,,
41,Threejs,,0,FALSE,FALSE,FALSE,FALSE,I tried to copy parts of the given code to run them each one at a time to see what it does.,I want more info about the rules of creating new item. For example how to change the shape of a geometry item.,0,F-W-Sp,,,EC-U CP-U,,,,,Exp-U,,,
42,Threejs,,0,FALSE,FALSE,TRUE,FALSE,"I tried finding close examples of code snippets from the example file, tested them in my file, and saw what it looked like. Tried to refine a bit from there.",I was looking for a circle/ring example but didn't see one... maybe a list of shape options to choose from?,0,C-W-Sp F-W-Sp,,,EC-U,,,,,Exp-U,,,
43,Threejs,,0,FALSE,FALSE,TRUE,TRUE,* Copy and pasting the code to see how it would render on my screen -> Example: copying and pasting the torus geometry to get a [?] shape * The parameters of the variables were useful for helping me know what I could pass in the constructers.,General information about what shapes I could make and the names of those shapes (possibly pictures with corresponding names),0,F-U-Sp F-W-Sp C-W-Sp,,,EC-U CP-U,,,,,Exp-U,,,
44,Threejs,,0,FALSE,FALSE,FALSE,FALSE,Looking at the example code to try to see which blocks of code corresponded to which shape/properties in the running example helped. I was forced to do this because there were no annotations.,Avialable / valid parameter choices. I didn't know what values I could put where.,0,F-W-Sp,,,EC-U,,,,,,,,
45,Threejs,,"The threejs code was on screen during the practice task, but they informed me and said that they hadn't read the code.",FALSE,FALSE,FALSE,TRUE,"The annotations in the example code, especially the ""create an object and add it to a scene"" annotation.",What is the geometry type for the circle shape we were supposed to create? Also what is the material type?,"The threejs code was on screen during the practice task, but they informed me and said that they hadn't read the code.",T-U-Sp C-W-Sp,,,,,,,,,,,
46,Threejs,,0,FALSE,TRUE,FALSE,FALSE,I liked having an example to look at; It helps a lot w/ my workflow.,0,0,,,,EC-U,,,,,,,,
47,Threejs,,0,FALSE,FALSE,FALSE,FALSE,The eample code along with its output was probably the most useful in this case,"annotated code, deginitions of which shape was what, better explanation of what the code does, a list of all possible functions, and just an API in general [?].",0,A-W C-W-Sp F-W-Sp,,D-W,EC-U,,,,,,,,
48,Threejs,,0,FALSE,TRUE,FALSE,TRUE,it was useful to have examples of the shapes that I could generate it was helpful to have a visual sample of the running example code and the images included in the annotated explanations were useful.,Information about specific parameters required in the creation of a shape w/ certain characteristics,0,C-U-Sp F-W-Sp,,,EC-U,,,,,,,,
51,Threejs,,0,FALSE,FALSE,TRUE,FALSE,"As previously stated CTRL-F was my friend. THis time, I found the annotations more helpful for learning how objects were formed. The example code output was less helpful b/c it was harder to see / know what it represented (shapes were not labelled)","Shape labels in example output. Visual keys for which shapes are represented by which type of object would have been nice to know how to make the ""donut"" shape (never heard of a torus before...). A basic template for adding a shape would have been nice too (shape, material, etc.)",0,F-U C-W-Sp T-W,,,,,,S-U,,,,,
54,Threejs,,0,FALSE,FALSE,TRUE,TRUE,"""- copy pasting code and playing w/ variables - example code - templates""","""- full documentation - tutorial - extra examples / list of all shapes (shape + example for visualizing)""",0,T-U C-W-Sp F-W-Sp,,D-W,EC-U EC-W CP-U,,,,,Exp-U,,,
57,Threejs,,0,FALSE,FALSE,FALSE,TRUE,"Example code, prior knowledge of scene graph-based rendering scheme","Actual documentation of the Torus constructor - default initialization with 1 argument was all that was present in the example code. I had to guess to find the inner radius, and was unable to locate the parameter for number of segments. Tips and high-level ideas cannot replace basic API instructions.",0,F-W-Sp,,,EC-U,,,,PK-C-U,Exp-U,,,"""I had to guess to find the inner radius"""
60,Threejs,,0,FALSE,TRUE,FALSE,FALSE,"I referenced the example code to try to find the shape I needed. The ""concept"" annotationfor what a Torus is was very helpful.","I couldn't figure out teh input variables for the TorusGeometry"" & other geometry-creating functions were. Some documentation would have been helpful. I couldn't figure out why it was showing up as a hexagon & not a circle. I did figure out hwo to change the tube-part diameter, though.",0,C-U F-W-Sp,,,EC-U,,,,,,,,
61,Threejs,,0,FALSE,FALSE,FALSE,FALSE,Comparing to the example code was useful for duplicating <u>exactly</u> what it did. I found it very difficult to extend the example code to something new. The code in the task was also helpful.,"I needed documentation on the methods. Constructing a shape, I had no idea what the arguments controlled, which arguments were possible and which methods were possible on that shape.",0,F-W-Sp,,,TC-U EC-U,,,,,,,,"Good quote: ""Comparing to the example code was useful for duplicating <u>exactly</u> what it did. I found it very difficult to extend the example code to something new. """
67,Threejs,,0,FALSE,TRUE,FALSE,TRUE,"The template for creating an object and add it to a scene is helpful. The concept about torus is useful, but I wish there's more info on the function.","The input parameter for TorusGeometry. I was't able to create a donut-shaped object, as it is shown in the concept. I got a hexagon shaped object instead.",0,T-U C-U F-W-Sp,,,,,,,,,,,
69,Threejs,,0,FALSE,TRUE,TRUE,TRUE,"""- ""Fact"" - helps me know how to use each function. - ""concept"" - help me imagine the picture of the obejct produced by funciton. - varuable names - helps me guess which part of code is realated to what I am looking for.""","""- the ability to modify annotated code or Modifying each constant and see what changes in the web page would be very helpful""",0,F-U C-U,,,VN-U EC-W,,,,,Exp-W,,,
